n,side,open_time,close_time,entry,exit,pips,usd,reason
1,SELL,2026-09-17 18:15,2026-09-17 21:35,1.14753,1.14808,-6.5,-0.65,ATR stop
2,SELL,2026-09-17 22:00,2026-09-18 02:15,1.14777,1.14805,-3.8,-0.38,ATR stop
3,BUY,2026-09-18 02:25,2026-09-18 05:30,1.14798,1.14854,4.6,0.46,ATR target
4,BUY,2026-09-18 05:35,2026-09-18 06:05,1.14854,1.14908,4.4,0.44,ATR target
5,BUY,2026-09-18 06:20,2026-09-18 06:35,1.14917,1.14888,-3.9,-0.39,ATR stop
6,BUY,2026-09-18 06:50,2026-09-18 07:00,1.14892,1.14863,-3.9,-0.39,ATR stop
7,SELL,2026-09-18 08:10,2026-09-18 08:40,1.14812,1.14843,-4.1,-0.41,ATR stop
8,SELL,2026-09-18 08:50,2026-09-18 09:45,1.14829,1.14863,-4.4,-0.44,ATR stop
9,BUY,2026-09-18 10:05,2026-09-18 10:25,1.1488,1.14829,-6.1,-0.61,ATR stop
10,SELL,2026-09-18 11:15,2026-09-18 11:40,1.1482,1.14864,-5.4,-0.54,ATR stop
11,SELL,2026-09-18 12:35,2026-09-18 13:30,1.14756,1.14654,9.2,0.92,ATR target
12,SELL,2026-09-18 13:40,2026-09-18 15:00,1.1461,1.14665,-6.5,-0.65,ATR stop
13,SELL,2026-09-18 15:10,2026-09-18 18:35,1.14654,1.14714,-7.0,-0.7,ATR stop
14,BUY,2026-09-18 18:45,2026-09-18 19:30,1.1475,1.14845,8.5,0.85,ATR target
15,BUY,2026-09-18 19:35,2026-09-19 15:51,1.1484,1.14858,0.8,0.08,end of data
