n,side,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,2026-09-17 18:25,2026-09-17 21:50,1.14757,1.14812,-5.9,-0.56,0.03,0.02,0.0,-0.59,ATR stop,99999.41
2,SELL,2026-09-17 22:05,2026-09-17 22:25,1.14747,1.14779,-3.5,-0.32,0.03,0.03,0.0,-0.35,ATR stop,99999.06
3,SELL,2026-09-17 22:35,2026-09-17 23:05,1.14761,1.14787,-2.9,-0.26,0.03,0.03,0.0,-0.29,ATR stop,99998.77
4,SELL,2026-09-17 23:15,2026-09-17 23:20,1.14749,1.14791,-4.4,-0.41,0.03,0.03,0.0,-0.44,ATR stop,99998.33
5,SELL,2026-09-17 23:30,2026-09-18 00:30,1.14749,1.14785,-3.9,-0.36,0.03,0.03,0.0,-0.39,ATR stop,99997.94
6,BUY,2026-09-18 03:20,2026-09-18 03:25,1.14817,1.14784,-3.5,-0.32,0.03,0.03,0.0,-0.35,ATR stop,99997.59
7,BUY,2026-09-18 04:00,2026-09-18 04:40,1.14819,1.14786,-3.7,-0.34,0.03,0.02,0.0,-0.37,ATR stop,99997.22
8,BUY,2026-09-18 05:15,2026-09-18 06:00,1.14839,1.14899,5.7,0.6,0.03,0.02,0.0,0.57,ATR target,99997.79
9,BUY,2026-09-18 06:05,2026-09-18 06:35,1.14914,1.14882,-3.6,-0.33,0.03,0.02,0.0,-0.36,ATR stop,99997.44
10,BUY,2026-09-18 06:45,2026-09-18 06:55,1.14893,1.1486,-3.6,-0.33,0.03,0.02,0.0,-0.36,ATR stop,99997.08
11,BUY,2026-09-18 07:05,2026-09-18 07:20,1.14871,1.14829,-4.6,-0.43,0.03,0.03,0.0,-0.46,ATR stop,99996.62
12,SELL,2026-09-18 09:20,2026-09-18 09:40,1.14792,1.14856,-6.7,-0.64,0.03,0.03,0.0,-0.67,ATR stop,99995.95
13,SELL,2026-09-18 12:40,2026-09-18 13:00,1.14721,1.14767,-5.0,-0.47,0.03,0.03,0.0,-0.5,ATR stop,99995.46
14,SELL,2026-09-18 13:10,2026-09-18 13:40,1.14714,1.14615,9.5,0.98,0.03,0.03,0.0,0.95,ATR target,99996.41
15,SELL,2026-09-18 13:50,2026-09-18 15:00,1.14597,1.1466,-6.7,-0.64,0.03,0.03,0.0,-0.67,ATR stop,99995.74
16,SELL,2026-09-18 15:10,2026-09-18 18:35,1.14649,1.1471,-6.5,-0.62,0.03,0.03,0.0,-0.65,ATR stop,99995.09
17,BUY,2026-09-18 19:00,2026-09-18 19:30,1.14755,1.14839,8.0,0.83,0.03,0.02,0.0,0.8,ATR target,99995.9
18,BUY,2026-09-18 19:35,2026-09-18 22:50,1.14836,1.1485,1.0,0.13,0.03,0.02,0.0,0.1,end of data,99996.0
