n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,0.36,55.2,45.0,0.5,2025-06-20 08:00,2025-06-20 20:00,1.15271,1.15207,-7.1,-23.1,2.52,1.68,0.0,-25.62,session flatten,99974.38
2,BUY,0.18,48.0,45.0,0.5,2025-06-24 08:00,2025-06-24 20:00,1.161,1.16054,-5.2,-8.19,1.26,0.9,0.0,-9.45,session flatten,99964.93
3,BUY,0.19,46.5,45.0,0.4,2025-06-25 12:00,2025-06-25 20:00,1.16011,1.16541,52.3,100.67,1.33,0.89,0.0,99.34,session flatten,100064.26
4,BUY,0.09,60.4,45.8,0.4,2025-06-26 08:00,2025-06-26 20:00,1.17255,1.1694,-32.2,-28.35,0.63,0.5,0.0,-28.98,session flatten,100035.28
5,BUY,0.1,51.7,50.7,0.333,2025-06-27 08:00,2025-06-27 20:00,1.17096,1.17139,3.6,4.35,0.7,0.5,0.0,3.65,session flatten,100038.93
6,BUY,0.1,58.0,45.9,0.429,2025-06-30 08:00,2025-06-30 20:00,1.17198,1.17784,58.0,58.67,0.7,0.48,0.0,57.97,session flatten,100096.9
7,BUY,0.1,66.0,45.3,0.5,2025-07-01 08:00,2025-07-01 20:00,1.1814,1.18021,-12.6,-11.88,0.7,0.53,0.0,-12.58,session flatten,100084.32
8,BUY,0.11,67.6,46.2,0.4,2025-07-02 08:00,2025-07-02 20:00,1.17704,1.17939,22.8,25.83,0.77,0.51,0.0,25.06,session flatten,100109.38
9,BUY,0.12,70.8,45.6,0.5,2025-07-03 08:00,2025-07-03 20:00,1.17926,1.17554,-37.9,-44.65,0.84,0.55,0.0,-45.49,session flatten,100063.89
10,BUY,0.11,64.3,46.7,0.5,2025-07-04 08:00,2025-07-04 20:00,1.17786,1.17654,-13.9,-14.53,0.77,0.5,0.0,-15.3,session flatten,100048.59
11,BUY,0.13,61.2,47.3,0.444,2025-07-07 08:00,2025-07-07 20:00,1.17342,1.17066,-28.3,-35.85,0.91,0.69,0.0,-36.76,session flatten,100011.83
12,BUY,0.13,47.9,51.8,0.5,2025-07-10 12:00,2025-07-10 20:00,1.16929,1.17021,8.5,12.01,0.91,0.67,0.0,11.1,session flatten,100022.93
13,BUY,0.13,50.3,47.2,0.4,2025-07-11 08:00,2025-07-11 20:00,1.16952,1.16873,-8.6,-10.31,0.91,0.62,0.0,-11.22,session flatten,100011.71
14,BUY,0.14,45.5,51.6,0.571,2025-07-15 08:00,2025-07-15 16:00,1.16852,1.15953,-90.7,-125.97,0.98,0.74,0.0,-126.95,ATR stop,99884.76
15,BUY,0.14,31.6,51.8,0.5,2025-07-16 08:00,2025-07-16 20:00,1.16156,1.16331,16.8,24.48,0.98,0.65,0.0,23.5,session flatten,99908.26
16,BUY,0.1,38.8,47.2,0.556,2025-07-17 08:00,2025-07-17 20:00,1.15911,1.15973,5.6,6.26,0.7,0.49,0.0,5.56,session flatten,99913.82
17,BUY,0.11,40.1,46.7,0.6,2025-07-18 08:00,2025-07-18 20:00,1.16338,1.16233,-11.1,-11.46,0.77,0.51,0.0,-12.23,session flatten,99901.59
18,BUY,0.13,42.2,46.6,0.545,2025-07-24 08:00,2025-07-24 20:00,1.17525,1.17442,-9.0,-10.75,0.91,0.67,0.0,-11.66,session flatten,99889.93
19,BUY,0.12,45.6,46.5,0.5,2025-07-28 08:00,2025-07-28 16:00,1.16672,1.15907,-77.3,-91.9,0.84,0.76,0.0,-92.74,ATR stop,99797.2
20,BUY,0.09,33.0,47.3,0.462,2025-07-31 08:00,2025-07-31 20:00,1.14333,1.14154,-18.6,-16.13,0.63,0.42,0.0,-16.76,session flatten,99780.44
21,BUY,0.1,24.3,51.2,0.429,2025-08-07 08:00,2025-08-07 20:00,1.16708,1.16635,-8.1,-7.37,0.7,0.52,0.0,-8.07,session flatten,99772.37
22,BUY,0.12,29.9,51.8,0.4,2025-10-09 08:00,2025-10-09 20:00,1.16263,1.15633,-63.7,-75.55,0.84,0.61,0.0,-76.39,session flatten,99695.98
23,BUY,0.14,27.9,52.4,0.375,2025-11-05 08:00,2025-11-05 20:00,1.14854,1.14915,5.4,8.52,0.98,0.65,0.0,7.54,session flatten,99703.52
24,BUY,0.16,33.9,51.3,0.412,2025-11-06 08:00,2025-11-06 20:00,1.15141,1.15456,30.8,50.36,1.12,0.76,0.0,49.24,session flatten,99752.76
25,BUY,0.17,33.4,47.0,0.444,2025-11-07 08:00,2025-11-07 20:00,1.15391,1.15628,23.0,40.21,1.19,0.84,0.0,39.02,session flatten,99791.78
26,BUY,0.15,33.5,45.9,0.474,2025-11-10 08:00,2025-11-10 20:00,1.15688,1.15555,-13.9,-19.87,1.05,0.74,0.0,-20.92,session flatten,99770.86
27,BUY,0.15,33.1,45.6,0.45,2025-11-24 08:00,2025-11-24 20:00,1.15308,1.15197,-11.7,-16.55,1.05,0.72,0.0,-17.6,session flatten,99753.26
28,BUY,0.14,34.1,45.4,0.429,2025-12-11 12:00,2025-12-11 20:00,1.17316,1.17372,4.9,7.87,0.98,0.74,0.0,6.89,session flatten,99760.15
29,BUY,0.15,40.2,45.3,0.455,2025-12-12 08:00,2025-12-12 20:00,1.17336,1.17393,5.0,8.52,1.05,0.71,0.0,7.47,session flatten,99767.62
30,BUY,0.17,45.3,44.9,0.478,2025-12-15 08:00,2025-12-15 20:00,1.17438,1.17512,6.7,12.53,1.19,0.82,0.0,11.34,session flatten,99778.96
31,BUY,0.18,49.5,44.5,0.5,2025-12-16 08:00,2025-12-16 20:00,1.17567,1.17453,-12.1,-20.45,1.26,0.92,0.0,-21.71,session flatten,99757.24
32,BUY,0.15,47.6,45.0,0.48,2025-12-17 08:00,2025-12-17 20:00,1.17166,1.1739,21.8,33.68,1.05,0.75,0.0,32.63,session flatten,99789.87
33,BUY,0.16,52.0,42.0,0.364,2025-12-18 08:00,2025-12-18 20:00,1.17227,1.17207,-2.6,-3.12,1.12,0.8,0.0,-4.24,session flatten,99785.63
34,BUY,0.15,44.2,45.0,0.5,2025-12-19 08:00,2025-12-19 20:00,1.1713,1.17082,-5.5,-7.26,1.05,0.73,0.0,-8.31,session flatten,99777.32
35,BUY,0.16,40.4,45.1,0.481,2025-12-22 08:00,2025-12-22 20:00,1.17308,1.17591,27.7,45.37,1.12,0.79,0.0,44.25,session flatten,99821.58
