n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,5.19,59.5,45.0,0.5,2026-09-10 12:00,2026-09-10 12:15,1.35259,1.35172,-9.4,-453.23,36.33,28.61,0.0,-489.56,ATR stop,99510.44
2,BUY,1.99,52.4,45.0,0.4,2026-09-10 12:25,2026-09-10 12:30,1.35244,1.35038,-21.3,-410.82,13.93,11.92,0.0,-424.75,ATR stop,99085.69
3,BUY,1.97,48.5,45.0,0.5,2026-09-11 07:20,2026-09-11 07:40,1.35252,1.3517,-8.9,-160.81,13.79,10.41,0.0,-174.6,ATR stop,98911.09
4,BUY,0.9,40.4,47.6,0.4,2026-09-11 13:00,2026-09-11 13:15,1.35295,1.35156,-14.7,-125.72,6.3,4.35,0.0,-132.02,ATR stop,98779.07
5,BUY,1.28,37.3,52.0,0.333,2026-09-14 07:50,2026-09-14 08:10,1.34916,1.3483,-9.3,-110.53,8.96,6.22,0.0,-119.49,ATR stop,98659.58
6,BUY,1.39,35.2,52.3,0.286,2026-09-14 09:40,2026-09-14 10:00,1.34891,1.34825,-7.3,-91.42,9.73,6.9,0.0,-101.15,trend flip,98558.42
7,BUY,1.03,34.0,52.5,0.25,2026-09-15 07:40,2026-09-15 08:00,1.34769,1.34716,-6.0,-54.43,7.21,6.16,0.0,-61.64,trend flip,98496.78
8,BUY,0.95,29.3,52.7,0.222,2026-09-15 09:15,2026-09-15 09:35,1.34726,1.34727,-0.5,1.54,6.65,4.57,0.0,-5.11,trend flip,98491.67
9,BUY,1.02,25.3,52.8,0.2,2026-09-16 08:05,2026-09-16 08:25,1.34707,1.34715,0.1,8.56,7.14,4.73,0.0,1.42,trend flip,98493.09
10,BUY,1.02,36.3,51.8,0.273,2026-09-17 07:15,2026-09-17 07:50,1.33942,1.33869,-8.0,-74.44,7.14,5.07,0.0,-81.58,ATR stop,98411.51
11,BUY,0.97,35.5,52.0,0.25,2026-09-17 08:00,2026-09-17 08:10,1.3387,1.33795,-8.2,-72.75,6.79,5.11,0.0,-79.54,ATR stop,98331.97
12,BUY,1.02,29.0,52.2,0.231,2026-09-18 08:10,2026-09-18 08:40,1.33733,1.33669,-7.1,-65.32,7.14,5.24,0.0,-72.46,chop scratch,98259.51
13,BUY,0.84,23.9,52.3,0.214,2026-09-18 14:40,2026-09-18 15:00,1.33572,1.33563,-1.6,-7.26,5.88,4.3,0.0,-13.14,ATR stop,98246.37
