n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,1.89,57.1,45.0,0.5,2026-09-09 10:15,2026-09-09 11:15,1.3786,1.37757,-8.2,-141.28,13.23,7.11,0.0,-154.51,scalp scratch,99845.49
2,BUY,1.52,55.7,45.0,0.5,2026-09-09 14:20,2026-09-09 18:00,1.37946,1.38018,4.6,79.88,10.64,5.58,0.0,69.24,session flatten,99914.74
3,BUY,2.31,56.7,45.0,0.5,2026-09-10 10:55,2026-09-10 11:55,1.38177,1.38158,-2.1,-31.49,16.17,8.43,0.0,-47.66,scalp scratch,99867.08
4,BUY,1.51,62.1,45.0,0.5,2026-09-10 12:00,2026-09-10 13:45,1.38165,1.38136,-2.8,-31.67,10.57,5.44,0.0,-42.24,scalp scratch,99824.84
5,BUY,1.67,57.6,45.0,0.5,2026-09-11 09:15,2026-09-11 14:35,1.38526,1.38731,14.1,247.61,11.69,6.05,0.0,235.92,time stop,100060.76
6,BUY,3.7,57.1,45.0,0.5,2026-09-14 07:05,2026-09-14 12:25,1.38868,1.39017,10.1,397.96,25.9,13.48,0.0,372.06,time stop,100432.81
7,BUY,3.04,55.1,45.0,0.5,2026-09-15 10:50,2026-09-15 12:30,1.39141,1.3913,-1.5,-24.81,21.28,10.81,0.0,-46.09,scalp scratch,100386.72
8,BUY,2.71,60.5,45.0,0.5,2026-09-15 12:35,2026-09-15 13:35,1.39236,1.39199,-3.3,-70.32,18.97,9.98,0.0,-89.29,scalp scratch,100297.43
9,BUY,1.8,57.1,45.0,0.5,2026-09-16 07:40,2026-09-16 08:40,1.39368,1.39289,-6.4,-102.05,12.6,6.44,0.0,-114.65,scalp scratch,100182.78
10,BUY,1.1,56.4,45.0,0.5,2026-09-16 12:05,2026-09-16 13:05,1.39404,1.39404,-0.7,0.05,7.7,3.9,0.0,-7.65,scalp scratch,100175.12
11,BUY,1.26,56.9,45.0,0.5,2026-09-17 10:50,2026-09-17 11:50,1.39952,1.39947,-1.0,-4.32,8.82,4.51,0.0,-13.14,scalp scratch,100161.98
12,BUY,1.51,59.2,45.0,0.5,2026-09-18 07:00,2026-09-18 08:00,1.39963,1.39957,-1.1,-6.55,10.57,5.47,0.0,-17.12,scalp scratch,100144.86
13,BUY,1.08,59.8,45.0,0.5,2026-09-18 09:25,2026-09-18 10:25,1.40003,1.39986,-1.9,-12.94,7.56,3.84,0.0,-20.5,scalp scratch,100124.36
14,BUY,1.39,60.3,45.0,0.5,2026-09-21 07:00,2026-09-21 08:00,1.40202,1.40131,-5.8,-71.38,9.73,4.92,0.0,-81.11,scalp scratch,100043.25
15,BUY,1.25,57.1,45.0,0.5,2026-09-21 09:25,2026-09-21 10:25,1.40187,1.4018,-1.2,-6.02,8.75,4.41,0.0,-14.77,scalp scratch,100028.49
16,BUY,1.33,55.8,45.0,0.5,2026-09-22 08:35,2026-09-22 09:35,1.40441,1.40318,-9.4,-116.17,9.31,4.9,0.0,-125.48,scalp scratch,99903.0
17,BUY,0.84,57.5,45.0,0.5,2026-09-22 12:25,2026-09-22 13:45,1.40427,1.4042,-1.2,-4.18,5.88,2.98,0.0,-10.06,scalp scratch,99892.95
