n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,1.58,63.3,45.0,0.5,2026-09-09 07:00,2026-09-09 08:00,0.80821,0.8085,-4.2,-55.14,11.06,10.18,0.0,-66.2,scalp scratch,99933.8
2,SELL,1.36,60.5,45.0,0.5,2026-09-09 08:05,2026-09-09 08:35,0.80863,0.80924,-8.3,-102.82,9.52,8.69,0.0,-112.34,scalp scratch,99821.46
3,BUY,1.04,56.8,45.0,0.5,2026-09-10 08:40,2026-09-10 09:45,0.81042,0.81055,0.9,16.15,7.28,6.42,0.0,8.87,scalp scratch,99830.33
4,BUY,1.5,61.4,45.0,0.5,2026-09-10 09:50,2026-09-10 10:05,0.81088,0.80996,-12.0,-169.63,10.5,8.9,0.0,-180.13,ATR stop,99650.2
5,BUY,1.16,60.6,45.0,0.5,2026-09-10 10:30,2026-09-10 11:30,0.81119,0.81122,-0.3,4.63,8.12,7.09,0.0,-3.49,scalp scratch,99646.72
6,BUY,1.03,59.8,45.0,0.5,2026-09-11 08:10,2026-09-11 09:20,0.81373,0.81383,0.6,13.58,7.21,7.44,0.0,6.37,scalp scratch,99653.08
7,BUY,1.48,61.0,45.0,0.5,2026-09-11 09:25,2026-09-11 11:50,0.81479,0.81501,2.0,39.26,10.36,10.13,0.0,28.9,scalp scratch,99681.98
8,BUY,2.38,66.3,45.0,0.5,2026-09-11 11:55,2026-09-11 12:25,0.81533,0.81445,-11.5,-257.49,16.66,16.74,0.0,-274.15,ATR stop,99407.83
9,BUY,1.05,60.9,45.0,0.5,2026-09-14 07:00,2026-09-14 08:00,0.81887,0.81857,-4.3,-37.32,7.35,6.54,0.0,-44.67,scalp scratch,99363.16
10,BUY,1.29,62.9,45.0,0.5,2026-09-14 08:05,2026-09-14 09:05,0.81884,0.81849,-5.0,-55.57,9.03,7.66,0.0,-64.6,scalp scratch,99298.56
11,BUY,1.0,61.0,45.0,0.5,2026-09-15 07:00,2026-09-15 07:30,0.81774,0.81744,-4.4,-36.7,7.0,6.12,0.0,-43.7,scalp scratch,99254.86
12,BUY,0.94,61.9,45.0,0.5,2026-09-15 11:25,2026-09-15 12:25,0.81803,0.81814,0.6,12.27,6.58,5.65,0.0,5.69,scalp scratch,99260.55
13,BUY,2.31,63.2,45.0,0.5,2026-09-15 12:30,2026-09-15 13:45,0.81814,0.81792,-3.3,-60.24,16.17,15.05,0.0,-76.41,scalp scratch,99184.15
14,SELL,1.12,62.6,45.0,0.5,2026-09-16 07:00,2026-09-16 07:30,0.81833,0.81873,-5.5,-53.68,7.84,7.16,0.0,-61.52,scalp scratch,99122.63
15,BUY,0.97,59.0,45.0,0.5,2026-09-17 09:20,2026-09-17 10:20,0.82567,0.82524,-5.9,-50.2,6.79,5.78,0.0,-56.99,scalp scratch,99065.64
16,SELL,0.71,60.2,45.0,0.5,2026-09-17 13:15,2026-09-17 14:25,0.82354,0.82363,-1.7,-6.98,4.97,4.4,0.0,-11.95,scalp scratch,99053.68
17,BUY,0.83,58.5,45.0,0.5,2026-09-18 07:10,2026-09-18 08:10,0.82491,0.82417,-9.6,-73.97,5.81,5.5,0.0,-79.78,scalp scratch,98973.91
18,BUY,0.88,59.4,45.0,0.5,2026-09-18 09:40,2026-09-18 10:45,0.82501,0.82516,1.1,16.13,6.16,5.41,0.0,9.97,scalp scratch,98983.88
19,BUY,1.29,59.0,45.0,0.5,2026-09-18 10:50,2026-09-18 11:55,0.82526,0.82536,0.5,15.56,9.03,8.2,0.0,6.53,scalp scratch,98990.41
20,SELL,2.59,64.1,45.0,0.5,2026-09-21 12:20,2026-09-21 13:20,0.82139,0.82184,-6.2,-141.6,18.13,15.54,0.0,-159.73,scalp scratch,98830.68
21,SELL,1.36,63.1,45.0,0.5,2026-09-21 13:25,2026-09-21 13:50,0.82144,0.82254,-14.0,-180.83,9.52,8.85,0.0,-190.35,ATR stop,98640.33
22,BUY,0.99,57.9,45.0,0.5,2026-09-22 08:10,2026-09-22 08:40,0.82208,0.82087,-15.5,-146.43,6.93,6.55,0.0,-153.36,ATR stop,98486.97
23,SELL,0.48,59.1,45.0,0.5,2026-09-22 10:35,2026-09-22 11:35,0.81856,0.81954,-12.6,-57.17,3.36,2.81,0.0,-60.53,scalp scratch,98426.44
