n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,BUY,0.16,55.3,45.0,0.5,2026-09-10 08:45,2026-09-10 12:30,153.69562,154.62189,0.6,95.84,1.12,0.7,0.0,94.72,ATR target,100094.72
2,BUY,0.16,63.5,45.0,0.6,2026-09-10 12:55,2026-09-10 13:45,154.35357,153.98322,-0.2,-38.48,1.12,0.56,0.0,-39.6,ATR stop,100055.12
3,BUY,0.16,62.5,45.0,0.5,2026-09-10 13:50,2026-09-10 14:20,154.10354,153.88934,-0.1,-22.27,1.12,0.54,0.0,-23.39,chop scratch,100031.73
4,BUY,0.16,58.0,46.3,0.429,2026-09-11 00:10,2026-09-11 01:00,154.45254,154.39541,-0.0,-5.92,1.12,0.57,0.0,-7.04,ATR stop,100024.69
5,SELL,0.16,57.5,51.1,0.375,2026-09-11 07:00,2026-09-11 07:45,154.10529,154.23741,-0.1,-13.71,1.12,0.53,0.0,-14.83,chop scratch,100009.87
6,SELL,0.16,55.4,51.7,0.333,2026-09-14 00:00,2026-09-14 00:25,153.4454,153.67055,-0.2,-23.44,1.12,0.58,0.0,-24.56,ATR stop,99985.3
7,BUY,0.3,52.7,52.2,0.3,2026-09-14 02:10,2026-09-14 04:35,153.93868,153.94163,-0.0,0.57,2.1,0.98,0.0,-1.53,ATR stop,99983.78
8,BUY,0.16,51.9,52.7,0.273,2026-09-15 00:30,2026-09-15 03:00,154.60526,154.73666,0.1,13.59,1.12,0.52,0.0,12.47,trail stop,99996.24
9,BUY,0.16,57.9,51.9,0.333,2026-09-15 03:30,2026-09-15 06:10,154.73319,154.71149,-0.0,-2.24,1.12,0.53,0.0,-3.36,ATR stop,99992.88
10,BUY,0.16,52.9,52.3,0.308,2026-09-15 08:00,2026-09-15 08:15,155.00781,154.918,-0.1,-9.28,1.12,0.6,0.0,-10.4,ATR stop,99982.48
11,SELL,0.16,49.9,52.7,0.5,2026-09-16 07:05,2026-09-16 09:20,155.01241,155.11611,-0.1,-10.7,1.12,0.51,0.0,-11.82,chop scratch,99970.67
12,BUY,0.16,49.9,53.0,0.4,2026-09-16 13:15,2026-09-16 14:30,155.30384,155.14056,-0.1,-16.84,1.12,0.55,0.0,-17.96,chop scratch,99952.71
13,SELL,0.16,49.4,53.2,0.333,2026-09-17 07:05,2026-09-17 08:20,155.59023,155.83734,-0.2,-25.37,1.12,0.53,0.0,-26.49,ATR stop,99926.21
14,SELL,0.16,45.5,53.4,0.286,2026-09-17 09:20,2026-09-17 11:15,155.55558,155.7657,-0.1,-21.58,1.12,0.57,0.0,-22.7,ATR stop,99903.51
15,BUY,0.15,50.3,53.6,0.286,2026-09-18 03:05,2026-09-18 05:40,156.81777,157.12152,0.2,29.0,1.05,0.54,0.0,27.95,trail stop,99931.46
16,BUY,0.15,49.1,53.0,0.25,2026-09-18 07:00,2026-09-18 10:55,156.88834,157.74362,0.5,81.32,1.05,0.47,0.0,80.27,trail stop,100011.73
17,SELL,0.15,45.2,48.5,0.333,2026-09-18 15:10,2026-09-18 17:00,157.05166,156.76219,0.2,27.7,1.05,0.55,0.0,26.65,session flatten,100038.38
